id,name,followers,popularity,genres,main_genre
5kkZBvl9ELNIjDcHHAGIbZ,The Restarts,18468,26,"['hardcore punk', 'punk', 'ska punk']",Rock
0kJMPTXq7h3ztpDukSx5iD,Pras,64613,63,['old school hip hop'],Hip-Hop
05azsUtpz47OJP5Q2hibIR,The Tuna Helpers,103,0,['art pop'],Pop
7CCrWKLbAto1EXI2eoG9Vu,Tsuruda,33335,27,"['drumstep', 'bass music']",Electronic
5FSSocUbUylI8xOIj3mkEb,Sordid Pink,14893,19,"['progressive metal', 'djent']",Rock
2CkrXQPoBz8jTQ3u0ZeLPh,Nucleya,1755168,51,"['indian indie', 'hindi hip hop', 'hindi indie', 'desi hip hop', 'desi']",Pop
4VKdeMYGCitgbRAFAOhhgq,Crime,8761,14,"['proto-punk', 'punk', 'noise rock']",Rock
2Zv7tySETckaR2robozkcz,LAUSSE THE CAT,120682,54,['jazz rap'],Hip-Hop
6JUp2MW7JWsHdyAVOu8ZoB,Warren Riker,72,23,[],Hip-Hop
2n9UOK0HdIXcYjbbvlu0uh,Jerry 'Te Bass' Duplessis,80,23,[],Hip-Hop
2k8Be6h9gcmO9PXMXWMN6Z,New York Rel-X,865,3,"['riot grrrl', 'punk']",Rock
2WQ9Au4bP1SArEEp4ftGit,Lapreem,98,26,[],Hip-Hop
6YaA8jbfVVyMzSp6bUq2YU,Jafrass,50985,30,"['dancehall', 'riddim']",Folk
4XHS0yjkCDJDEtIf73FW0q,TMD,4446,27,['crunk'],Electronic
2iwLuMJtJZxGYeLoY0LsWW,Cheap Girls,10701,19,"['folk punk', 'indie punk', 'power pop', 'midwest emo']",Folk
6kog2FnBdjoz5oc9EQvuXl,B-ahwe,11460,37,"['uk r&b', 'jazz rap']",Hip-Hop
4z1YwCfejfprhMyKKINFS2,Jerusalem,13079,16,['acid rock'],Rock
49t9eEicrIvGlCRCsbW1KH,Autumn Lies Buried,17909,30,"['deathcore', 'rap metal']",Rock
5bLT5MVVkmRorRwHtVNH8m,Wasted Youth,53550,30,"['hardcore punk', 'punk', 'skate punk']",Rock
6dv1KSzpbj7bze54k5hCMi,Wingnut Dishwashers Union,55344,32,"['folk punk', 'anti-folk']",Folk
5UjbehtgZGbNmmanbVW9Bs,Forth Wanderers,55370,40,['midwest emo'],Rock
42gnrsSSKKNNmfAJ0o3oyN,Soul Food Horns,11410,47,"['jazz beats', 'lo-fi beats', 'lo-fi', 'lo-fi hip hop', 'jazz rap']",Hip-Hop
4US4w2EgHspCIEKedxro9I,Cudzoo & The Faggettes,539,0,"['psychobilly', 'rockabilly']",Rock
6Mm4TbsXqMDUILycDvg5u4,Martin Atkins and You,9,0,['industrial'],Rock
63GIj2yhFvX1Bzphb9JgVb,Fenix Flexin,191762,71,[],Hip-Hop
4tYSBptyGeVyZsk8JC4JHZ,Shoreline Mafia,1440046,72,[],Hip-Hop
0Qh5UGy4Y1hrZlClkIP7oG,3-2,208,16,['southern hip hop'],Hip-Hop
3XVpDdKav6C6zwlDXPhMEO,Kamaiyah,198260,51,['hyphy'],Hip-Hop
